date,original_series,diff,sqrt,inverse,log,squared,cubic,boxcox,yeo-johnson,MA25,MA50,EMA100,RSI
2010-10-02,0.06111,-0.0005699999999999,0.2477902338672773,16.286644951140065,-2.79034544382904,0.00376996,0.3945082809390466,-1.9701550951433275,-1.757118922917998,0.061824399999999995,0.0632002,0.060086628305969295,54.09836065573775
2010-10-03,0.0613,-0.00029,0.2472043688934319,16.363933889707088,-2.795079760075313,0.0037344321,0.3938861962711626,-1.9705988717755625,-1.757161370797893,0.061840400000000004,0.06313819999999999,0.06011263566624713,27.089337175792394
2010-10-04,0.0614,0.00019,0.2475883680627989,16.31321370309951,-2.791975436039971,0.00375769,0.394293990684533,-1.9703079151824288,-1.757133558957391,0.0618048,0.0630204,0.06013238545503431,36.92810457516337
2010-10-05,0.06281,0.0001,0.2477902338672773,16.286644951140065,-2.79034544382904,0.00376996,0.3945082809390466,-1.9701550951433275,-1.757118922917998,0.061812399999999997,0.0629406,0.06015550653513264,26.05363984674348
2010-10-06,0.067,0.00141,0.2506192331007339,15.921031682853048,-2.7676409825158474,0.0039450961,0.3975053069449566,-1.968023066837284,-1.7569126846828724,0.0617964,0.0628586,0.060180149970080504,58.54341736694684
2010-10-07,0.08685,0.0041899999999999,0.2588435821108957,14.925373134328357,-2.703062659591171,0.004489,0.406154810044568,-1.9619244245002203,-1.7563012476954012,0.0617624,0.0627148,0.060232226208296734,80.65359477124183
2010-10-08,0.0938,0.0198499999999999,0.2947032405658275,11.514104778353484,-2.443572786295023,0.0075429224999999,0.4428499577646021,-1.9368960400524984,-1.753433174540894,0.0619824,0.0626948,0.06036624153090472,94.99817451624679
2010-10-09,0.0965,0.0069499999999999,0.3062678566222711,10.660980810234545,-2.366590422969958,0.00879844,0.4543608947700284,-1.9293070906124177,-1.7524399477296482,0.06296879999999999,0.0630978,0.060890672391678884,96.51639344262294
2010-10-10,0.095,0.0027,0.3106444913401813,10.362694300518134,-2.3382122706371966,0.00931225,0.4586792613421551,-1.9264903508341893,-1.7520555969535672,0.0642412,0.0636638,0.061542342245309,96.82410423452768
2010-10-11,0.0949,-0.0015,0.3082207001484488,10.526315789473683,-2.353878387381596,0.009025,0.4562902635386966,-1.9280466123951887,-1.7522690215310015,0.0656852,0.0642658,0.06223457309193655,92.99947561615102
2010-10-12,0.105,-0.0001,0.3080584360149873,10.537407797681771,-2.354931573366255,0.00900601,0.4561301054828799,-1.9281511215494087,-1.7522832590420356,0.0670092,0.06484580000000001,0.06288339342674969,93.48972061149182
2010-10-13,0.102,0.0100999999999999,0.324037034920393,9.523809523809524,-2.2537949288246137,0.0110249999999999,0.4717693980316532,-1.918049624443379,-1.7508510534674009,0.0684452,0.06544559999999999,0.06351738563612098,94.85738080366437
