date,original_series,diff,sqrt,inverse,log,squared,cubic,boxcox,yeo-johnson
2021-04-07,56185.7,-1741.5,237.0352294491264,1.7798123009947373e-05,10.93641755510572,3156832884.49,38.3008664393699,1.6041394081972518,1.5938162241798215
2021-04-08,57675.7,1490.0,240.15765655085826,1.7338324459000932e-05,10.962591219942727,3326486370.49,38.636486391557135,1.6187783170732848,1.6079214930741001
2021-04-09,58340.5,664.8000000000029,241.5377817236881,1.7140751279128564e-05,10.974051813834079,3403613940.25,38.784367706299435,1.6252039118861976,1.6141110199426525
2021-04-10,59107.9,767.4000000000015,243.12116320880008,1.6918212286344126e-05,10.987119866203727,3493743842.4100003,38.95368158845656,1.63254244742766,1.6211785832513281
2021-04-11,59546.6,438.6999999999971,244.02172034472667,1.679357007788858e-05,10.994514478275217,3545797571.56,39.04981580702711,1.6367005140727322,1.6251824705373372
2021-04-12,60002.2,455.59999999999854,244.9534649683486,1.6666055577962144e-05,11.0021365071987,3600264004.8399997,39.14915488966343,1.6409906443694473,1.6293130365806885
2021-04-13,63137.9,3135.7000000000044,251.27256117610614,1.5838347490176265e-05,11.053076502135372,3986394416.4100003,39.81958330216962,1.6697720799338747,1.6570112185570072
2021-04-14,62810.2,-327.70000000000437,250.61963211209132,1.5920980987164507e-05,11.047872759649694,3945121224.0399995,39.75057288574813,1.6668231839562828,1.6541743307140775
2021-04-15,63460.9,650.7000000000044,251.91446961220788,1.5757734289932855e-05,11.058179247198613,4027285828.8100004,39.88737066346892,1.6726656794528467,1.6597946845493263
2021-04-16,61840.1,-1620.800000000003,248.67669774226937,1.617073711070972e-05,11.032307300336322,3824197968.0099998,39.544861703760205,1.6580143289707552,1.6456986785280756
2021-04-17,60773.6,-1066.5,246.52302123736843,1.64545131438651e-05,11.014910763131255,3693430456.96,39.31621074766746,1.6481902915092999,1.6362437924552586
2021-04-18,56352.3,-4421.299999999996,237.38639388136804,1.7745504620042126e-05,10.93937833496149,3175581715.2900004,38.33868524309631,1.6057928728191329,1.5954097053159368
2021-04-19,56337.9,-14.400000000001455,237.35606164578988,1.7750040381341867e-05,10.939122767040262,3173958976.4100003,38.33541933617839,1.605650124342915,1.595272138318462
2021-04-20,57014.4,676.5,238.77688330322096,1.7539428635572768e-05,10.951059146489651,3250641807.36,38.48825188295117,1.612322300231924,1.6017015368240848
2021-04-21,54816.2,-2198.2000000000044,234.1285971426814,1.8242782243205475e-05,10.91174104968695,3004815782.4399996,37.987114744861984,1.5903833951509565,1.5805563628548327
2021-04-22,51699.5,-3116.699999999997,227.37524051664025,1.934254683314152e-05,10.85320338926987,2672838300.25,37.25307393217449,1.5579272857092794,1.549250407139746
2021-04-23,50440.0,-1259.5,224.58851261807672,1.9825535289452816e-05,10.828539790078857,2544193600.0,36.94806446061794,1.5443263631007549,1.536122868110556
2021-04-24,50876.9,436.90000000000146,225.55908316891166,1.9655285601127428e-05,10.837164268484882,2588458953.61,37.05443654934956,1.5490774381830177,1.5407091598102587
2021-04-25,47694.4,-3182.5,218.39047598281388,2.096682210070784e-05,10.772569269565176,2274755791.36,36.265120921239046,1.5136222775013637,1.5064686551313267
2021-04-26,53384.3,5689.9000000000015,231.05042739627208,1.8732099137761476e-05,10.885271974228974,2849883486.4900002,37.653427705237306,1.5756770701493954,1.5663747607428362
2021-04-27,55323.9,1939.5999999999985,235.21033140574417,1.8075370680664232e-05,10.920960282209164,3060733911.21,38.1040316480967,1.595517529813876,1.585505921859428
2021-04-28,54857.8,-466.09999999999854,234.2174203598016,1.8228948299056833e-05,10.912499661609468,3009378220.84,37.99672178552922,1.5908056292734079,1.580963444470728
2021-04-29,53340.2,-1517.6000000000058,230.9549739667886,1.8747586248270536e-05,10.884445547260285,2845176936.0399995,37.64305653109949,1.57521871802337,1.565932667690455
2021-04-30,57046.5,3706.300000000003,238.84409140692594,1.752955921923343e-05,10.951622003715,3254303162.25,38.49547369062555,1.6126371807983488,1.6020049301485513
2021-05-01,57468.4,421.90000000000146,239.72567655551626,1.74008672592242e-05,10.958990510501737,3302616998.56,38.59014128922306,1.6167614877136207,1.605978529138153
2021-05-02,56701.6,-766.8000000000029,238.12097765631654,1.763618663318143e-05,10.945557708012588,3215071442.56,38.41773630895315,1.609245829979978,1.598737158695186
2021-05-03,57130.7,429.09999999999854,239.0202920255935,1.75037239172634e-05,10.953096904400313,3263916882.49,38.51440401047714,1.6134623973028823,1.6028000289627315
2021-05-04,54386.6,-2744.0999999999985,233.2093480116095,1.8386882062861072e-05,10.903873078972,2957902259.56,37.887618105880456,1.5860066331081644,1.576336381167843
2021-05-05,56844.8,2458.2000000000044,238.42147554278748,1.7591758612925016e-05,10.948080026217674,3231331287.0400004,38.45005047671527,1.610656067425485,1.600096045566589
2021-05-06,56386.4,-458.40000000000146,237.45820684912113,1.773477292396748e-05,10.939983273656718,3179426104.96,38.34641687400648,1.606130782623872,1.595735347478965
2021-05-07,57426.6,1040.199999999997,239.63847771173977,1.7413533101385072e-05,10.958262889598405,3297814387.56,38.58078275969103,1.6163540473268307,1.6055859976962696
2021-05-08,58863.0,1436.4000000000015,242.616982093175,1.6988600648964544e-05,10.98296798888821,3464852769.0,38.899808573765625,1.6302095553079676,1.6189319897006005
2021-05-09,58101.4,-761.5999999999985,241.04231993573245,1.7211289228830974e-05,10.969945038935231,3375772681.96,38.73131114055902,1.6229002717578977,1.6118921408735107
2021-05-10,55755.6,-2345.800000000003,236.12623742396778,1.7935418146338664e-05,10.928733132708253,3108686931.3599997,38.20288530237988,1.59985096583106,1.5896830094886336
2021-05-11,56571.9,816.3000000000029,237.8484811807719,1.7676620371597912e-05,10.943267674479916,3200379869.61,38.38842153088178,1.6079658641306862,1.5975037531822434
2021-05-12,54579.3,-1992.5999999999985,233.62213080100096,1.8321964554327373e-05,10.907409968969386,2978899988.4900002,37.93231255976584,1.5879735657849656,1.5782329208186896
